model,roc_auc,pr_auc,ks,brier,opt_threshold,approval_rate@opt,bad_rate@opt,recall@opt,specificity@opt,f1@opt,cost_per_applicant@opt
Logistic Regression,0.9426,0.9849,0.7314,0.0904,0.64,0.6806,0.022,0.8093,0.9155,0.8857,0.2319
Gradient Boosting,0.9336,0.9829,0.7104,0.0693,0.93,0.6406,0.0176,0.7652,0.9366,0.8603,0.2494
SVM,0.9329,0.9795,0.7289,0.0716,0.84,0.7206,0.0304,0.8495,0.8768,0.9056,0.2331
Random Forest,0.9326,0.9812,0.7156,0.0685,0.81,0.74,0.0363,0.867,0.8486,0.9128,0.2437
KNN,0.9305,0.9772,0.7129,0.0687,0.74,0.78,0.0441,0.9065,0.8063,0.9306,0.2487
Naive Bayes,0.9291,0.9811,0.7063,0.1026,0.99,0.7594,0.0436,0.883,0.8134,0.9182,0.2619
XGBoost,0.9278,0.98,0.6948,0.0841,0.63,0.7456,0.0419,0.8685,0.8239,0.9111,0.2644
CatBoost,0.927,0.9815,0.6867,0.0813,0.81,0.6775,0.0295,0.7994,0.8873,0.8767,0.265
LightGBM,0.9229,0.9796,0.6816,0.082,0.8,0.7706,0.0487,0.8913,0.7887,0.9204,0.2769
Decision Tree,0.8423,0.9401,0.5883,0.1244,0.82,0.6769,0.0508,0.7812,0.8063,0.857,0.3519
